Ester library;Compound chemical class;Log P (+/- SD);;Smiles code
(1S)-(+)-Neomenthyl acetate;Aryl ester (chiral);4.10;0.22;C[C@@H]1CC[C@H]([C@H](C1)OC(=O)C)C(C)C
Propylparaben;Aromatic ester (one ring);2.93;0.22;CCCOC(=O)C1=CC=C(C=C1)O
Butylparaben;Aromatic ester (one ring);3.46;0.22;CCCCOC(=O)C1=CC=C(C=C1)O 
Methyl 3-hydroxybenzoate;Aromatic ester (one ring);1.89;0.23;COC(=O)C1=CC(=CC=C1)O 
Methyl 2-hydroxybenzoate;Aromatic ester (one ring);2.23;0.24;COC(=O)C1=CC=CC=C1O
Phthalic acid diethyl ester;Aromatic ester (one ring);2.70;0.25;CCOC(=O)C1=CC=CC=C1C(=O)OCC
(?)-Methyl (R)-3-hydroxyvalerate;Alkyl ester (chiral hydroxylated);-0.02;0.23;CC[C@H](CC(=O)OC)O
(+)-Methyl (S)-3-hydroxyvalerate;Alkyl ester (chiral hydroxylated);-0.02;0.23;CC[C@@H](CC(=O)OC)O
Benzyl (R)-(+)-2-hydroxy-3-phenylpropionate [BHPP];Aromatic ester (two rings);2.88;0.38;C1=CC=C(C=C1)C[C@H](C(=O)OCC2=CC=CC=C2)O
Benzylparaben;Aromatic ester (one ring);3.64;0.24;C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O
Methyl benzoate;Aromatic ester (one ring);2.20;0.20;COC(=O)C1=CC=CC=C1
Methyl butyrate;Alkyl ester;1.24;0.21;CCCC(=O)OC
Methyl decanoate;Alkyl ester;4.43;0.21;CCCCCCCCCC(=O)OC 
Methyl oleate;Alkenyl ester;8.16;0.22;CCCCCCCCC=CCCCCCCCC(=O)OC 
Methyl hexanoate;Alkyl ester;2.30;0.21;CCCCCC(=O)OC
Methyl octanoate;Alkyl ester;3.37;0.21;CCCCCCCC(=O)OC
Methyl dodecanoate;Alkyl ester;5.49;0.21;CCCCCCCCCCCC(=O)OC 
Methyl myristate;Alkyl ester;6.55;0.21;CCCCCCCCCCCCCC(=O)OC 
Propyl propionate;Alkyl ester;1.77;0.21;CCCOC(=O)CC 
Propyl butyrate;Alkyl ester;2.30;0.21;CCCC(=O)OCCC
Propyl hexanoate;Alkyl ester;3.37;0.21;CCCCCC(=O)OCCC
Phenylethyl cinnamate;Aromatic ester (cinnamic ester like);4.37;0.23;C1=CC=C(C=C1)CCOC(=O)C=CC2=CC=CC=C2 
Isobutyl cinnamate;Aromatic ester (cinnamic ester like);3.59;0.23;CC(C)COC(=O)C=CC1=CC=CC=C1 
Methyl 2,5-dihydroxycinnamate;Aromatic ester (cinnamic ester like);1.51;0.48;COC(=O)/C=C/C1=C(C=CC(=C1)O)O
Methyl cinnamate;Aromatic ester (cinnamic ester like);2.18;0.22;COC(=O)C=CC1=CC=CC=C1 
Methyl ferulate;Aromatic ester (cinnamic ester like);1.41;0.27;COC1=C(C=CC(=C1)C=CC(=O)OC)O 
Vinyl acetate;Vinyl alkyl ester;0.73;0.29;CC(=O)OC=C 
Vinyl propionate;Vinyl alkyl ester;1.26;0.29;CCC(=O)OC=C 
Vinyl butyrate;Vinyl alkyl ester;1.79;0.29;CCCC(=O)OC=C
Vinyl laurate;Vinyl alkyl ester;6.04;0.29;CCCCCCCCCCCC(=O)OC=C
Vinyl myristate;Vinyl alkyl ester;7.11;0.29;CCCCCCCCCCCCCC(=O)OC=C 
Vinyl palmitate;Vinyl alkyl ester;8.17;0.29;CCCCCCCCCCCCCCCC(=O)OC=C 
Vinyl oleate;Vinyl alkenyl ester;8.71;0.30;CCCCCCCCC=CCCCCCCCC(=O)OC=C 
Vinyl benzoate;Vinyl aromatic ester (one ring);2.25;0.54;C=COC(=O)C1=CC=CC=C1 
Vinyl crotonate;Vinyl alkenyl ester;1.44;0.41;CC=CC(=O)OC=C 
Vinyl acrylate;Vinyl alkenyl ester;0.38;0.41;C=CC(=O)OC=C 
Geranyl acetate;Alkenyl ester;4.10;0.32;CC(=CCCC(=CCOC(=O)C)C)C 
3-Methyl-3-buten-1-yl acetate;Alkenyl ester;1.91;0.35;CC(=C)CCOC(=O)C
Ethyl 2-ethylacetoacetate;Alkyl ester (oxo branched);1.59;0.31;CCC(C(=O)C)C(=O)OCC 
Ethyl 2-methylacetoacetate;Alkyl ester (oxo branched);1.06;0.31;CCOC(=O)C(C)C(=O)C 
Ethyl 3-oxohexanoate;Alkyl ester (oxo branched);1.78;0.31;CCCC(=O)CC(=O)OCC 
Ethyl acetoacetate;Alkyl ester (oxo branched);0.72;0.31;CCOC(=O)CC(=O)C 
Ethyl propionylacetate;Alkyl ester (oxo branched);1.25;0.31;CCC(=O)CC(=O)OCC 
?-Valerolactone;Aryl ester (lactone);-0.27;0.28;CC1CCC(=O)O1
Methyl glycolate;Alkyl ester (hydroxylated);-1.07;0.25;COC(=O)CO
D-Pantolactone;Aryl ester (chiral lactone);-0.80;0.37;CC1(COC(=O)[C@@H]1O)C
L-Pantolactone;Aryl ester (chiral lactone);-0.80;0.37;CC1(COC(=O)[C@H]1O)C
(1R)-(-)-dimenthyl succinate;Alkyl diester;8.04;0.27;C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)CCC(=O)O[C@@H]2C[C@@H](CC[C@H]2C(C)C)C)C(C)C
Ethyl 2-chlorobenzoate;Aromatic ester (one ring);3.01;0.23;CCOC(=O)C1=CC=CC=C1Cl 
Cyclohexyl butyrate;Aryl ester;3.30;0.21;CCCC(=O)OC1CCCCC1
n-Pentyl benzoate;Aromatic ester (one ring);4.32;0.20;CCCCCOC(=O)C1=CC=CC=C1 
2,4-Dichlorophenyl 2,4-dichlorobenzoate [DCPDCB];Aromatic ester (two rings);5.89;0.38;C1=CC(=C(C=C1Cl)Cl)C(=O)OC2=C(C=C(C=C2)Cl)Cl
2,4-Dichlorobenzyl 2,4-dichlorobenzoate  [DCBDCB];Aromatic ester (two rings);6.03;0.40;C1=CC(=C(C=C1Cl)Cl)COC(=O)C2=C(C=C(C=C2)Cl)Cl
Diethyl-2,6-dimethyl 4-phenyl-1,4-dihydro pyridine-3,5-dicarboxylate [DDPDPDC];Aromatic ester (two rings);4.30;0.58;CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2)C(=O)OCC)C)C
(+)-Methyl D-Lactate;Alkyl ester (chiral hydroxylated);-0.72;0.25;C[C@H](C(=O)OC)O
(-)-Methyl L-Lactate;Alkyl ester (chiral hydroxylated);-0.72;0.25;C[C@@H](C(=O)OC)O
Propyl acetate;Alkyl ester;1.24;0.21;CCCOC(=O)C 
Butyl acetate;Alkyl ester;1.77;0.21;CCCCOC(=O)C 
Phenyl acetate;Aromatic ester (one ring);1.56;0.20;CC(=O)OC1=CC=CC=C1 
Phenyl propionate;Aromatic ester (one ring);2.09;0.20;CCC(=O)OC1=CC=CC=C1 
Glucose pentaacetate;Sugar ester;1.68;0.64;CC(=O)OCC(C(C(C(C=O)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C 
Glyceryl trilaurate;Triglyceride;15.7;0.26;CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC

