Ester library;Compound chemical class;Log P (+/- SD);;Smiles code;Preparation or commercial source or preparation;Brand;Ester concentration [mg/ml];Mw [g/mol];concentration [mM];Reaction buffer;Reaction pH;Volume reaction [ml];Additives (solvents);Additives (pH indicator);Reaction T (¼C);Enzyme amount [mg];Reaction time (h);Shaking [rpm];Assay method;Substrate;EH1(72);EH2(71);EH3(69);CalB(68);EH4(67);EH5(67);EH6(66);EH7(64);EH8(63);EH9(61);EH10(58);EH11(53);EH12(51);EH13(49);EH14(48);EH15(42);EH16(42);EH17(39);EH18(38);EH19(37);EH20(37);EH21(36);CalA(36);EH22(35);EH23(34);EH24(34);EH25(33);EH26(32);EH27(32);EH28(31);EH29(31);EH30(30);EH31(29);EH32(29);EH33(29);EH34(29);EH35(29);EH36(28);EH37(28);EH38(28);EH39(28);EH40(27);EH41(27);EH42(27);EH43(27);EH44(25);EH45(24);EH46(23);EH47(23);EH48(23);EH49(23);EH50(22);EH51(22);EH52(21);EH53(21);EH54(21);EH55(21);EH56(21);EH57(21);EH58(21);EH59(21);EH60(21);EH61(20);EH62(20);EH63(20);EH64(20);EH65(20);EH66(19);EH67(18);EH68(18);EH69(18);EH70(18);EH71(18);EH72(18);EH73(17);EH74(17);EH75(16);EH76(16);EH77(16);EH78(15);EH79(14);EH80(14);EH81(14);EH82(14);EH83(14);EH84(13);EH85(13);EH86(13);EH87(13);EH88(13);EH89(13);EH90(13);EH91(13);EH92(12);EH93(12);EH94(12);EH95(11);EH96(11);EH97(11);EH98(11);EH99(11);EH100(11);EH101(11);EH102(10);EH103(10);EH104(10);EH105(10);EH106(9);EH107(9);EH108(9);EH109(9);EH110(8);EH111(8);EH112(8);EH113(8);EH114(8);EH115(8);EH116(7);EH117(6);EH118(6);EH119(6);EH120(5);EH121(5);EH122(5);EH123(4);EH124(4);EH125(4);EH126(4);EH127(4);EH128(4);EH129(3);EH130(2);EH131(2);EH132(2);EH133(2);EH134(2);EH135(2);EH136(2);EH137(2);EH138(2);EH139(2);EH140(1);EH141(1);EH142(1);EH143(1);EH144(1);EH145(1)
Pentadecyl acetate ;Alkyl ester;7.62;0.21;CCCCCCCCCCCCCCCOC(=O)C ;http://www.sigmaaldrich.com/catalog/product/sigma/p0385?lang=es&region=ES;Sigma-Aldrich;1.14;270.45;4.20;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Pentadecyl acetate ;0.00;5.07;0.00;58.78;0.13;3.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl acetate;Alkyl ester;0.71;0.20;CCOC(=O)C ;http://www.sigmaaldrich.com/catalog/product/sial/270989?lang=es&region=ES;Sigma-Aldrich;1.14;88.11;12.90;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl acetate;0.00;0.00;0.00;3.07;1.18;66.35;92.91;0.00;0.00;0.00;0.01;0.00;0.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;36.79;0.00;0.00;0.00;0.00;0.00;198.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl propionate;Alkyl ester;1.24;0.21;CCC(=O)OCC ;http://www.sigmaaldrich.com/catalog/product/aldrich/112305?lang=es&region=ES;Sigma-Aldrich;1.14;102.13;11.13;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl propionate;4532.10;10.04;12.28;4669.50;125.77;643.25;198.22;9.16;57.55;15.20;0.08;0.59;105.83;74.03;3.83;0.89;581.43;62.10;0.00;0.17;1.09;0.00;0.00;134.79;44.29;0.00;0.00;0.00;0.00;0.00;684.39;0.00;0.00;19.00;0.00;0.00;0.00;0.00;176.86;0.00;0.06;3.23;0.00;0.00;9.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl butyrate;Alkyl ester;1.77;0.21;CCCC(=O)OCC;http://www.sigmaaldrich.com/catalog/product/aldrich/e15701?lang=es&region=ES;Sigma-Aldrich;1.14;116.16;9.78;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl butyrate;6156.02;3.58;21.43;489.35;170.75;1047.31;53.92;10.33;88.04;17.35;0.06;0.73;94.14;2.81;6.41;10.75;134.13;41.57;0.00;0.00;2.54;0.00;0.00;133.02;0.00;0.00;0.00;0.00;0.00;9.16;323.91;0.00;0.00;29.50;0.00;0.00;0.49;0.00;201.79;0.00;0.07;4.14;0.00;4.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;593.34;11.78;0.00;0.00;3.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;198.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl hexanoate;Alkyl ester;2.83;0.21;CCCCCC(=O)OCC;http://www.sigmaaldrich.com/catalog/product/aldrich/148962?lang=es&region=ES;Sigma-Aldrich;1.14;144.21;7.88;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl hexanoate;2947.00;58.76;42.95;55078.88;0.00;2197.88;48.45;7.70;61.65;5.10;0.05;1.67;3.15;0.00;8.75;0.00;113.53;57.94;19.56;0.00;0.00;4398.32;484.41;0.00;0.00;24.67;0.00;0.00;42.94;5.76;0.00;0.00;0.00;0.00;0.00;0.00;0.90;0.00;1.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;653.06;0.00;0.00;0.00;7.44;0.00;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.62;0.00;0.00;0.00;0.00;0.00;2.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl octanoate;Alkyl ester;3.90;0.21;CCCCCCCC(=O)OCC;http://www.sigmaaldrich.com/catalog/product/aldrich/112321?lang=es&region=ES;Sigma-Aldrich;1.14;172.26;6.60;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl octanoate;642.33;54.16;79.39;10075.98;0.04;75.92;8.71;15.51;86.14;1.71;0.01;0.81;0.00;0.00;54.00;0.00;0.00;0.00;11.63;0.00;0.00;4984.04;771.97;0.00;0.00;16.03;9.63;14.83;28.89;2.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.92;5.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.03;0.00;3.50;0.00;5.08;0.00;0.00;0.00;1.36;0.00;0.00;2.71;0.00;0.00;0.00;0.00;6.74;0.00;0.00;0.00;0.00;0.00;5.74;0.00;0.00;0.00;0.00;12.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl decanoate;Alkyl ester;4.96;0.21;CCCCCCCCCC(=O)OCC ;http://www.sigmaaldrich.com/catalog/product/aldrich/148970?lang=es&region=ES;Sigma-Aldrich;1.14;200.32;5.67;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl decanoate;20.42;6.66;0.00;1.95;0.06;0.00;1.49;0.82;0.18;0.00;0.00;0.01;0.00;0.00;23.69;0.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl dodecanoate;Alkyl ester;6.02;0.21;CCCCCCCCCCCC(=O)OCC;http://www.sigmaaldrich.com/catalog/product/aldrich/61630?lang=es&region=ES;Sigma-Aldrich;1.14;228.37;4.98;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl dodecanoate;0.00;0.00;0.00;9.96;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;17.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl myristate;Alkyl ester;7.08;0.21;CCCCCCCCCCCCCC(=O)OCC ;http://www.sigmaaldrich.com/catalog/product/aldrich/70090?lang=es&region=ES;Sigma-Aldrich;1.14;256.42;4.43;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl myristate;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ethyl benzoate;Aromatic ester (one ring);2.73;0.20;CCOC(=O)C1=CC=CC=C1 ;http://www.sigmaaldrich.com/catalog/product/aldrich/e12907?lang=es&region=ES;Sigma-Aldrich;1.14;150.17;7.57;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Ethyl benzoate;573.39;104.00;104.33;301.08;0.36;1070.66;12.51;0.00;5.38;64.50;0.01;0.00;5.87;0.09;0.00;0.00;11.64;0.00;0.00;0.00;0.00;4021.40;0.00;0.00;0.00;0.00;0.00;6.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.51;0.00;0.00;0.00;0.00;539.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(1R)-(-)-Menthyl acetate;Aromatic ester (one ring - chiral);4.10;0.22;C[C@@H]1CCC(C(C1)OC(=O)C)C(C)C;http://www.sigmaaldrich.com/catalog/product/aldrich/441058?lang=es&region=ES;Sigma-Aldrich;1.14;198.30;5.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(1R)-(-)-Menthyl acetate;37.81;0.00;82.41;0.00;0.00;284.48;14.65;0.00;0.00;33.29;0.01;0.00;0.66;27.70;0.00;0.00;0.00;0.00;6.13;9.77;0.00;0.00;0.00;0.00;363.91;0.00;29.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.00;0.00;0.00;1.01;0.00;0.00;52.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.41;0.00;0.00;0.00;0.00;0.00;1.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
(1S)-(+)-Menthyl acetate;Aromatic ester (one ring - chiral);4.10;0.22;C[C@H]1CCC(C(C1)OC(=O)C)C(C)C;http://www.sigmaaldrich.com/catalog/product/aldrich/441031?lang=es&region=ES;Sigma-Aldrich;1.14;198.30;5.73;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);(1S)-(+)-Menthyl acetate;6.66;0.00;67.74;0.00;0.00;55.30;3.27;0.00;0.00;15.83;0.00;0.00;0.03;11.41;0.00;0.00;0.00;0.00;1.71;5.70;0.00;0.00;0.00;0.00;228.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.86;0.00;0.00;0.00;0.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.91;0.00;0.00;0.00;0.00;0.00;1.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N-Benzyl-L-proline ethyl ester;Aromatic ester (two rings - chiral);2.35;0.38;CCOC(=O)[C@@H]1CCCN1CC2=CC=CC=C2;http://www.sigmaaldrich.com/catalog/product/aldrich/369292?lang=es&region=ES;Sigma-Aldrich;1.14;233.31;4.87;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);N-Benzyl-L-proline ethyl ester;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N-Benzyl-D-proline ethyl ester;Aromatic ester (two rings - chiral);2.35;0.38;CCOC(=O)[C@H]1CCCN1CC2=CC=CC=C2;http://www.scbt.com/es/datasheet-255335-n-benzyl-d-proline-ethyl-ester.html;Santa Cruz Biotechnology;1.14;233.31;4.87;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);N-Benzyl-D-proline ethyl ester;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Methyl (R)-(-)-mandelate;Aromatic ester (one ring - chiral);0.90;0.27;COC(=O)[C@@H](C1=CC=CC=C1)O;http://www.sigmaaldrich.com/catalog/product/aldrich/251550?lang=es&region=ES;Sigma-Aldrich;1.14;166.17;6.84;5 mM N-(2-hydroxyethyl)piperazine-NÕ-(3-propanesulfonic acid (EPPS);8.0;44;4.5% Acetonitrile;0.45 mM Phenol Red;30¼C;0.4 mg;Kinetic measurement up to24 h;150 rpm;pH indicator assay (doi: 10.1128/AEM.00240-13);Methyl (R)-(-)-mandelate;19.62;0.00;79.88;3319.35;0.20;3.12;0.05;0.00;9.05;18.34;0.00;0.02;0.00;0.00;0.00;0.00;0.00;11.66;1.52;3668.25;0.00;2421.52;53.02;0.00;0.00;0.95;7.50;8.88;0.00;5.55;0.00;76.14;0.00;0.00;46.64;650.08;0.05;1.33;1.96;18.88;0.00;10.87;22.25;14.00;0.00;5.24;0.00;2.21;0.00;3.71;1.10;20.44;1.67;0.00;0.00;0.00;1.08;2.00;0.00;0.66;5.39;1.65;1.00;3.75;6.63;0.55;2.93;13.80;2.21;1.40;0.00;0.00;0.00;0.00;0.00;0.00;5.68;7.36;0.00;0.00;2.23;6.48;0.67;0.00;2.79;0.00;9.58;0.00;0.72;0.00;0.00;0.22;105.90;12.72;0.00;1.20;0.00;3.74;0.00;13.34;0.39;0.00;6.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.00;0.00;0.00;1.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
